2026-09-01 16:33:38 | INFO     | rapport_synthese       | === Démarrage de la génération des rapports de synthèse ===
2026-09-01 16:33:38 | INFO     | db                     | Initialisation du moteur de connexion PostgreSQL (dbadmin@bdd.lpo-aura.org:5432/gnlpoaura)
2026-09-01 16:33:39 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:33:39 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:33:39 | INFO     | db                     | Connexion à la base de données réussie !
2026-09-01 16:33:39 | WARNING  | rapport_synthese       | Rafraîchissement des vues matérialisées ignoré (--skip-refresh)
2026-09-01 16:33:39 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:33:39 | DEBUG    | db                     | Exécution requête SQL : SELECT desc_source, nom_fichier, list_import FROM gn_imports.v_c_rapport_generated;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 47 ligne(s) retournée(s)
2026-09-01 16:33:42 | INFO     | data_service           | 47 rapport(s) à générer d'après gn_imports.v_c_rapport_generated
2026-09-01 16:33:42 | INFO     | rapport_synthese       | Filtre appliqué sur 'orb_depobio' : 1 rapport(s) restant(s)
2026-09-01 16:33:42 | INFO     | rapport_synthese       | Rapport [11/1] : « [ORB] Depobio » -> orb_depobio (1 import(s) : ['7102_'])
2026-09-01 16:33:42 | INFO     | report_generator       | === Génération du rapport pour « [ORB] Depobio » ===
2026-09-01 16:33:42 | INFO     | data_service           | Chargement des données pour la source « [ORB] Depobio » (1 import(s))
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL : SELECT SUM(nb_data) AS nb_data FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_tax FROM grafana.mv_source_detail mv WHERE id_source_news IN :ids;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_sp FROM grafana.mv_source_detail mv WHERE id_rang = 'ES' AND id_source_news IN :ids;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_dataset) AS nb_jdd FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_acquisition_framework) AS nb_ca FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:33:42 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:33:42 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT msaf.acquisition_framework_name AS "Cadre d'acquisition",                msd.dataset_name AS "Jeu de données",               
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 750 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT unique_acquisition_framework_id AS "UUID",                acquisition_framework_name AS "Cadre d'acquisition",               
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 323 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          WITH data_tot AS (             SELECT SUM(nb_data) AS tot FROM grafana.mv_source_niveau_taxonomique         ),         repartition_tot AS (  
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 21 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT annee AS an, SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         GRO
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 61 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT CONCAT(annee, '-', LPAD(mois::text, 2, '0')) AS date2,                concat(annee, '-', mois) AS date,                mois, annee AS 
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 502 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         AND annee < 1600
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 6 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, COUNT(DISTINCT cd_ref) AS nb_esp         FROM grafana.mv_source_detail         WHERE id_source_news IN :id
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, SUM(nb_data) AS nb_data         FROM grafana.mv_source_detail         WHERE id_source_news IN :ids AND id_
2026-09-01 16:33:43 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:33:43 | DEBUG    | db                     | Exécution requête SQL :          SELECT tn.label_default AS label_valid_status,                COUNT(s.id_synthese) AS nb_data         FROM gn_synthese.synthese s         LEF
2026-09-01 16:33:50 | DEBUG    | db                     | Requête terminée : 4 ligne(s) retournée(s)
2026-09-01 16:33:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.unique_id_sinp AS uuid,                t.cd_ref,                br.nom_rang AS rang,                t.nom_vern,                t.lb_
2026-09-01 16:33:50 | DEBUG    | db                     | Requête terminée : 0 ligne(s) retournée(s)
2026-09-01 16:33:50 | DEBUG    | db                     | Exécution requête SQL :          WITH recent_data AS (             SELECT s.id_synthese, s.id_dataset, s.id_source, s.cd_nom, s.observers,                    s.id_nomenclatur
2026-09-01 16:33:59 | DEBUG    | db                     | Requête terminée : 18443 ligne(s) retournée(s)
2026-09-01 16:33:59 | DEBUG    | db                     | Exécution requête SQL :          WITH recent_data AS (             SELECT id_synthese, id_dataset, concat(s.id_source, '_', s.id_import) AS id_source_news,                   
2026-09-01 16:38:20 | DEBUG    | db                     | Requête terminée : 13 ligne(s) retournée(s)
2026-09-01 16:38:20 | DEBUG    | db                     | Exécution requête SQL :          SELECT id_area,                ST_AsGeoJSON(geom_4326) AS geojson,                SUM(nb_data) AS nb_data,                MAX(cardinality(tab
2026-09-01 16:38:20 | DEBUG    | db                     | Requête terminée : 872 ligne(s) retournée(s)
2026-09-01 16:38:20 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.id_synthese,                ST_Y(ST_Transform(ST_Centroid(s.the_geom_local), 4326)) AS lat,                ST_X(ST_Transform(ST_Cent
2026-09-01 16:38:34 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:38:34 | DEBUG    | db                     | Exécution requête SQL :           SELECT --s.id_source, s.id_import,                CASE                    WHEN altitude_min < 0 THEN '< 0'                    WHEN altitude_
2026-09-01 16:38:40 | DEBUG    | db                     | Requête terminée : 10 ligne(s) retournée(s)
2026-09-01 16:38:40 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.id_source, s.id_import,                CASE                    WHEN ST_GeometryType(s.the_geom_local) IN ('ST_LineString', 'ST_Multi
2026-09-01 16:38:46 | DEBUG    | db                     | Requête terminée : 4 ligne(s) retournée(s)
2026-09-01 16:38:46 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:38:46 | DEBUG    | db                     | Requête terminée : 5 ligne(s) retournée(s)
2026-09-01 16:38:46 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:38:47 | DEBUG    | db                     | Requête terminée : 90 ligne(s) retournée(s)
2026-09-01 16:38:47 | INFO     | data_service           | Chargement terminé pour « [ORB] Depobio » : 380517 données au total
2026-09-01 16:39:08 | INFO     | report_generator       | Rapport généré avec succès : output\ORB_Depobio.html
2026-09-01 16:39:08 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:39:08 | INFO     | rapport_synthese       | === Terminé en 329.9s : 1 rapport(s) généré(s) avec succès, 0 échec(s) ===
2026-09-01 16:46:05 | INFO     | rapport_synthese       | === Démarrage de la génération des rapports de synthèse ===
2026-09-01 16:46:05 | INFO     | db                     | Initialisation du moteur de connexion PostgreSQL (dbadmin@bdd.lpo-aura.org:5432/gnlpoaura)
2026-09-01 16:46:06 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:46:06 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:46:06 | INFO     | db                     | Connexion à la base de données réussie !
2026-09-01 16:46:06 | WARNING  | rapport_synthese       | Rafraîchissement des vues matérialisées ignoré (--skip-refresh)
2026-09-01 16:46:06 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:46:06 | DEBUG    | db                     | Exécution requête SQL : SELECT desc_source, nom_fichier, list_import FROM gn_imports.v_c_rapport_generated;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 47 ligne(s) retournée(s)
2026-09-01 16:46:09 | INFO     | data_service           | 47 rapport(s) à générer d'après gn_imports.v_c_rapport_generated
2026-09-01 16:46:09 | INFO     | rapport_synthese       | Filtre appliqué sur 'orb_depobio' : 1 rapport(s) restant(s)
2026-09-01 16:46:09 | INFO     | rapport_synthese       | Rapport [11/1] : « [ORB] Depobio » -> orb_depobio (1 import(s) : ['7102_'])
2026-09-01 16:46:09 | INFO     | report_generator       | === Génération du rapport pour « [ORB] Depobio » ===
2026-09-01 16:46:09 | INFO     | data_service           | Chargement des données pour la source « [ORB] Depobio » (1 import(s))
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL : SELECT SUM(nb_data) AS nb_data FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_tax FROM grafana.mv_source_detail mv WHERE id_source_news IN :ids;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_sp FROM grafana.mv_source_detail mv WHERE id_rang = 'ES' AND id_source_news IN :ids;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_dataset) AS nb_jdd FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_acquisition_framework) AS nb_ca FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT msaf.acquisition_framework_name AS "Cadre d'acquisition",                msd.dataset_name AS "Jeu de données",               
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 750 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT unique_acquisition_framework_id AS "UUID",                acquisition_framework_name AS "Cadre d'acquisition",               
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 323 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          WITH data_tot AS (             SELECT SUM(nb_data) AS tot FROM grafana.mv_source_niveau_taxonomique         ),         repartition_tot AS (  
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 21 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          SELECT annee AS an, SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         GRO
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 61 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          SELECT CONCAT(annee, '-', LPAD(mois::text, 2, '0')) AS date2,                concat(annee, '-', mois) AS date,                mois, annee AS 
2026-09-01 16:46:09 | DEBUG    | db                     | Requête terminée : 502 ligne(s) retournée(s)
2026-09-01 16:46:09 | DEBUG    | db                     | Exécution requête SQL :          SELECT SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         AND annee < 1600
2026-09-01 16:46:10 | DEBUG    | db                     | Requête terminée : 6 ligne(s) retournée(s)
2026-09-01 16:46:10 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, COUNT(DISTINCT cd_ref) AS nb_esp         FROM grafana.mv_source_detail         WHERE id_source_news IN :id
2026-09-01 16:46:10 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:46:10 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, SUM(nb_data) AS nb_data         FROM grafana.mv_source_detail         WHERE id_source_news IN :ids AND id_
2026-09-01 16:46:10 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:46:10 | DEBUG    | db                     | Exécution requête SQL :          SELECT tn.label_default AS label_valid_status,                COUNT(s.id_synthese) AS nb_data         FROM gn_synthese.synthese s         LEF
2026-09-01 16:46:15 | DEBUG    | db                     | Requête terminée : 4 ligne(s) retournée(s)
2026-09-01 16:46:15 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.unique_id_sinp AS uuid,                t.cd_ref,                br.nom_rang AS rang,                t.nom_vern,                t.lb_
2026-09-01 16:46:16 | DEBUG    | db                     | Requête terminée : 0 ligne(s) retournée(s)
2026-09-01 16:46:16 | DEBUG    | db                     | Exécution requête SQL :          WITH recent_data AS (             SELECT s.id_synthese, s.id_dataset, s.id_source, s.cd_nom, s.observers,                    s.id_nomenclatur
2026-09-01 16:46:23 | DEBUG    | db                     | Requête terminée : 18443 ligne(s) retournée(s)
2026-09-01 16:46:23 | DEBUG    | db                     | Exécution requête SQL :          WITH recent_data AS (             SELECT id_synthese, id_dataset, concat(s.id_source, '_', s.id_import) AS id_source_news,                   
2026-09-01 16:50:06 | DEBUG    | db                     | Requête terminée : 13 ligne(s) retournée(s)
2026-09-01 16:50:06 | DEBUG    | db                     | Exécution requête SQL :          SELECT id_area,                ST_AsGeoJSON(geom_4326) AS geojson,                SUM(nb_data) AS nb_data,                MAX(cardinality(tab
2026-09-01 16:50:06 | DEBUG    | db                     | Requête terminée : 872 ligne(s) retournée(s)
2026-09-01 16:50:06 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.id_synthese,                ST_Y(ST_Transform(ST_Centroid(s.the_geom_local), 4326)) AS lat,                ST_X(ST_Transform(ST_Cent
2026-09-01 16:50:20 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:50:20 | DEBUG    | db                     | Exécution requête SQL :           SELECT --s.id_source, s.id_import,                CASE                    WHEN altitude_min < 0 THEN '< 0'                    WHEN altitude_
2026-09-01 16:50:26 | DEBUG    | db                     | Requête terminée : 10 ligne(s) retournée(s)
2026-09-01 16:50:26 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.id_source, s.id_import,                CASE                    WHEN ST_GeometryType(s.the_geom_local) IN ('ST_LineString', 'ST_Multi
2026-09-01 16:50:32 | DEBUG    | db                     | Requête terminée : 4 ligne(s) retournée(s)
2026-09-01 16:50:32 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:50:32 | DEBUG    | db                     | Requête terminée : 5 ligne(s) retournée(s)
2026-09-01 16:50:32 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:50:33 | DEBUG    | db                     | Requête terminée : 90 ligne(s) retournée(s)
2026-09-01 16:50:33 | INFO     | data_service           | Chargement terminé pour « [ORB] Depobio » : 380517 données au total
2026-09-01 16:50:53 | INFO     | report_generator       | Rapport généré avec succès : output\ORB_Depobio.html
2026-09-01 16:50:53 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:50:53 | INFO     | rapport_synthese       | === Terminé en 288.1s : 1 rapport(s) généré(s) avec succès, 0 échec(s) ===
2026-09-01 16:51:47 | INFO     | rapport_synthese       | === Démarrage de la génération des rapports de synthèse ===
2026-09-01 16:51:47 | INFO     | db                     | Initialisation du moteur de connexion PostgreSQL (dbadmin@bdd.lpo-aura.org:5432/gnlpoaura)
2026-09-01 16:51:47 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:51:47 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:51:47 | INFO     | db                     | Connexion à la base de données réussie !
2026-09-01 16:51:47 | WARNING  | rapport_synthese       | Rafraîchissement des vues matérialisées ignoré (--skip-refresh)
2026-09-01 16:51:47 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 16:51:47 | DEBUG    | db                     | Exécution requête SQL : SELECT desc_source, nom_fichier, list_import FROM gn_imports.v_c_rapport_generated;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 47 ligne(s) retournée(s)
2026-09-01 16:51:50 | INFO     | data_service           | 47 rapport(s) à générer d'après gn_imports.v_c_rapport_generated
2026-09-01 16:51:50 | INFO     | rapport_synthese       | Filtre appliqué sur 'orb_depobio' : 1 rapport(s) restant(s)
2026-09-01 16:51:50 | INFO     | rapport_synthese       | Rapport [11/1] : « [ORB] Depobio » -> orb_depobio (1 import(s) : ['7102_'])
2026-09-01 16:51:50 | INFO     | report_generator       | === Génération du rapport pour « [ORB] Depobio » ===
2026-09-01 16:51:50 | INFO     | data_service           | Chargement des données pour la source « [ORB] Depobio » (1 import(s))
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL : SELECT SUM(nb_data) AS nb_data FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_tax FROM grafana.mv_source_detail mv WHERE id_source_news IN :ids;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT mv.cd_ref) AS nb_sp FROM grafana.mv_source_detail mv WHERE id_rang = 'ES' AND id_source_news IN :ids;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_dataset) AS nb_jdd FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL : SELECT COUNT(DISTINCT id_acquisition_framework) AS nb_ca FROM grafana.mv_source_dataset WHERE id_source_news IN :ids;
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 1 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT msaf.acquisition_framework_name AS "Cadre d'acquisition",                msd.dataset_name AS "Jeu de données",               
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 750 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT DISTINCT unique_acquisition_framework_id AS "UUID",                acquisition_framework_name AS "Cadre d'acquisition",               
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 323 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          WITH data_tot AS (             SELECT SUM(nb_data) AS tot FROM grafana.mv_source_niveau_taxonomique         ),         repartition_tot AS (  
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 21 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT annee AS an, SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         GRO
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 61 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT CONCAT(annee, '-', LPAD(mois::text, 2, '0')) AS date2,                concat(annee, '-', mois) AS date,                mois, annee AS 
2026-09-01 16:51:50 | DEBUG    | db                     | Requête terminée : 502 ligne(s) retournée(s)
2026-09-01 16:51:50 | DEBUG    | db                     | Exécution requête SQL :          SELECT SUM(nb_data) AS "Donnees"         FROM grafana.mv_source_info_temporelle         WHERE id_source_news IN :ids         AND annee < 1600
2026-09-01 16:51:51 | DEBUG    | db                     | Requête terminée : 6 ligne(s) retournée(s)
2026-09-01 16:51:51 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, COUNT(DISTINCT cd_ref) AS nb_esp         FROM grafana.mv_source_detail         WHERE id_source_news IN :id
2026-09-01 16:51:51 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:51:51 | DEBUG    | db                     | Exécution requête SQL :          SELECT group2_inpn AS groupe_taxo, SUM(nb_data) AS nb_data         FROM grafana.mv_source_detail         WHERE id_source_news IN :ids AND id_
2026-09-01 16:51:51 | DEBUG    | db                     | Requête terminée : 19 ligne(s) retournée(s)
2026-09-01 16:51:51 | DEBUG    | db                     | Exécution requête SQL :          SELECT tn.label_default AS label_valid_status,                COUNT(s.id_synthese) AS nb_data         FROM gn_synthese.synthese s         LEF
